0,#System,,,,inventory_type
2,Corporation,,,,inventory_type
3,Region,,,,inventory_type
4,Constellation,,,,inventory_type
5,Solar System,,,,inventory_type
6,Sun G5 (Yellow),,,,inventory_type
7,Sun K7 (Orange),,,,inventory_type
8,Sun K5 (Red Giant),,,,inventory_type
9,Sun B0 (Blue),,,,inventory_type
10,Sun F0 (White),,,,inventory_type
11,Planet (Temperate),,,,inventory_type
12,Planet (Ice),,,,inventory_type
13,Planet (Gas),,,,inventory_type
14,Moon,,,,inventory_type
15,Asteroid Belt,,,,inventory_type
16,Stargate (Caldari System),,,,inventory_type
17,Stargate (Amarr Constellation),,,,inventory_type
18,Plagioclase,,,,inventory_type
19,Spodumain,,,,inventory_type
20,Kernite,,,,inventory_type
21,Hedbergite,,,,inventory_type
22,Arkonor,,,,inventory_type
23,Cargo Container,,,,inventory_type
24,Ring,,,,inventory_type
25,Corpse Male,,,,inventory_type
26,Office Folder,,,,inventory_type
27,Office,,,,inventory_type
28,Factory Folder,,,,inventory_type
29,Credits,,,,inventory_type
30,Faction,,,,inventory_type
34,Tritanium,,,,inventory_type
35,Pyerite,,,,inventory_type
36,Mexallon,,,,inventory_type
37,Isogen,,,,inventory_type
38,Nocxium,,,,inventory_type
39,Zydrine,,,,inventory_type
40,Megacyte,,,,inventory_type
41,Garbage,,,,inventory_type
42,Spiced Wine,,,,inventory_type
43,Antibiotics,,,,inventory_type
44,Enriched Uranium,,,,inventory_type
45,Frozen Plant Seeds,,,,inventory_type
49,Player Kill,,,,inventory_type
50,Company Shares,,,,inventory_type
51,Bookmark,,,,inventory_type
52,Trading,,,,inventory_type
53,Trade Session,,,,inventory_type
54,Caldari Logistics Station,,,,inventory_type
56,Gallente Military Station,,,,inventory_type
57,Gallente Station Hub,,,,inventory_type
58,C-O-1,,,,inventory_type
59,C-O-2,,,,inventory_type
60,Asset Safety Wrap,,,,inventory_type
164,Clone Grade Alpha,,,,inventory_type
165,Clone Grade Beta,,,,inventory_type
166,Clone Grade Gamma,,,,inventory_type
178,Carbonized Lead S,,,,inventory_type
179,Nuclear S,,,,inventory_type
180,Proton S,,,,inventory_type
181,Depleted Uranium S,,,,inventory_type
182,Titanium Sabot S,,,,inventory_type
183,Fusion S,,,,inventory_type
184,Phased Plasma S,,,,inventory_type
185,EMP S,,,,inventory_type
186,Carbonized Lead M,,,,inventory_type
187,Nuclear M,,,,inventory_type
188,Proton M,,,,inventory_type
189,Depleted Uranium M,,,,inventory_type
190,Titanium Sabot M,,,,inventory_type
191,Fusion M,,,,inventory_type
192,Phased Plasma M,,,,inventory_type
193,EMP M,,,,inventory_type
194,Carbonized Lead L,,,,inventory_type
